code,class,colour
-1,Unclassified,black
1,Evergreen_Needleleaf_Forests,darkgreen
2,Evergreen_Broadleaf_Forests,darkolivegreen
3,Deciduous_Needleleaf_Forests,green
4,Deciduous_Broadleaf_Forests,lightgreen
5,Mixed_Forests,yellow
6,Closed_Shrublands,blue
7,Open_Shrublands,tan
8,Woody_Savannas,brown
9,Savannas,khaki
10,Grasslands,springgreen
11,Permanent_Wetlands,cyan
12,Croplands,red
13,Urban_and_Built_up_Lands,grey
14,Cropland_Natural_Vegetation_Mosaics,violet
15,Permanent_Snow_and_Ice,snow
16,Barren,sienna
17,Water_Bodies,navy
