# time_index y_index x_index temp_C
1 0 0 -4.756
1 0 1 -5.569
1 0 2 -3.873
1 0 3 -3.458
1 0 4 -5.508
1 0 5 -4.726
1 0 6 -3.319
1 0 7 -3.411
1 0 8 -2.908
1 0 9 -3.314
1 0 10 -1.665
1 0 11 -1.483
1 0 12 -1.789
1 0 13 -0.677
1 0 14 -0.942
1 0 15 -1.740
1 0 16 -0.494
1 0 17 -1.293
1 0 18 0.440
1 0 19 -0.040
1 1 0 -5.043
1 1 1 -5.176
1 1 2 -3.390
1 1 3 -4.229
1 1 4 -4.185
1 1 5 -3.861
1 1 6 -2.890
1 1 7 -2.760
1 1 8 -2.459
1 1 9 -2.182
1 1 10 -0.550
1 1 11 -2.325
1 1 12 -2.147
1 1 13 -2.125
1 1 14 -0.718
1 1 15 -0.044
1 1 16 -0.775
1 1 17 -1.093
1 1 18 -0.817
1 1 19 0.626
1 2 0 -4.195
1 2 1 -4.092
1 2 2 -4.796
1 2 3 -3.814
1 2 4 -3.643
1 2 5 -3.299
1 2 6 -2.513
1 2 7 -2.768
1 2 8 -2.141
1 2 9 -2.367
1 2 10 -1.927
1 2 11 -1.390
1 2 12 -2.797
1 2 13 -1.624
1 2 14 -1.482
1 2 15 -1.353
1 2 16 -0.799
1 2 17 0.880
1 2 18 -0.745
1 2 19 0.985
1 3 0 -6.031
1 3 1 -4.689
1 3 2 -4.028
1 3 3 -3.426
1 3 4 -3.063
1 3 5 -2.734
1 3 6 -3.384
1 3 7 -3.212
1 3 8 -1.893
1 3 9 -2.469
1 3 10 -3.073
1 3 11 -2.696
1 3 12 -2.262
1 3 13 -0.865
1 3 14 -0.886
1 3 15 -0.184
1 3 16 -0.815
1 3 17 -0.084
1 3 18 0.553
1 3 19 0.068
1 4 0 -4.214
1 4 1 -4.845
1 4 2 -4.343
1 4 3 -4.095
1 4 4 -4.483
1 4 5 -2.874
1 4 6 -3.376
1 4 7 -2.727
1 4 8 -2.089
1 4 9 -1.853
1 4 10 -1.415
1 4 11 -1.763
1 4 12 -1.760
1 4 13 -1.222
1 4 14 -2.245
1 4 15 -1.789
1 4 16 -1.427
1 4 17 -0.903
1 4 18 0.478
1 4 19 -0.303
1 5 0 -4.776
1 5 1 -3.171
1 5 2 -4.232
1 5 3 -3.094
1 5 4 -4.168
1 5 5 -3.322
1 5 6 -3.655
1 5 7 -2.903
1 5 8 -1.696
1 5 9 -3.487
1 5 10 -1.495
1 5 11 -1.389
1 5 12 -1.791
1 5 13 -2.209
1 5 14 -0.732
1 5 15 -0.950
1 5 16 -0.077
1 5 17 0.017
1 5 18 1.545
1 5 19 0.335
1 6 0 -5.187
1 6 1 -3.962
1 6 2 -3.666
1 6 3 -2.492
1 6 4 -2.648
1 6 5 -2.767
1 6 6 -1.619
1 6 7 -3.477
1 6 8 -2.775
1 6 9 -2.741
1 6 10 -2.049
1 6 11 -2.575
1 6 12 -0.702
1 6 13 -1.125
1 6 14 -1.861
1 6 15 -1.234
1 6 16 0.093
1 6 17 0.776
1 6 18 1.966
1 6 19 2.963
1 7 0 -3.932
1 7 1 -4.792
1 7 2 -5.442
1 7 3 -3.260
1 7 4 -3.861
1 7 5 -3.280
1 7 6 -3.174
1 7 7 -2.534
1 7 8 -1.305
1 7 9 -1.769
1 7 10 -1.758
1 7 11 -2.197
1 7 12 -2.445
1 7 13 -1.231
1 7 14 -0.622
1 7 15 1.099
1 7 16 0.052
1 7 17 0.997
1 7 18 0.074
1 7 19 -0.211
1 8 0 -4.930
1 8 1 -4.475
1 8 2 -1.929
1 8 3 -4.026
1 8 4 -2.434
1 8 5 -3.564
1 8 6 -1.834
1 8 7 -2.008
1 8 8 -2.178
1 8 9 -1.822
1 8 10 -2.050
1 8 11 -0.906
1 8 12 -1.364
1 8 13 -1.717
1 8 14 -1.496
1 8 15 -0.072
1 8 16 1.316
1 8 17 0.444
1 8 18 0.484
1 8 19 1.071
1 9 0 -3.008
1 9 1 -3.614
1 9 2 -3.855
1 9 3 -2.378
1 9 4 -2.657
1 9 5 -1.508
1 9 6 -2.327
1 9 7 -3.190
1 9 8 -3.042
1 9 9 -0.363
1 9 10 -0.042
1 9 11 -1.302
1 9 12 -1.201
1 9 13 0.538
1 9 14 -1.254
1 9 15 -0.821
1 9 16 0.673
1 9 17 0.105
1 9 18 0.680
1 9 19 0.817
1 10 0 -3.677
1 10 1 -2.558
1 10 2 -3.349
1 10 3 -2.643
1 10 4 -4.535
1 10 5 -2.671
1 10 6 -3.043
1 10 7 -3.080
1 10 8 -2.545
1 10 9 -1.846
1 10 10 -0.583
1 10 11 -2.114
1 10 12 -0.765
1 10 13 -0.914
1 10 14 -0.525
1 10 15 0.802
1 10 16 0.694
1 10 17 1.596
1 10 18 0.666
1 10 19 0.496
1 11 0 -4.021
1 11 1 -3.385
1 11 2 -3.175
1 11 3 -3.920
1 11 4 -2.717
1 11 5 -2.344
1 11 6 -0.249
1 11 7 -0.499
1 11 8 -2.419
1 11 9 -1.704
1 11 10 -2.381
1 11 11 -1.420
1 11 12 -0.432
1 11 13 0.544
1 11 14 -0.741
1 11 15 -0.418
1 11 16 -1.349
1 11 17 0.501
1 11 18 0.045
1 11 19 0.734
