doy,Lai_500m
1,0.8760556180932232
5,0.8686100308613148
9,0.8646948977555855
13,0.8601473676907242
17,0.8567105453074927
21,0.8536886897368892
25,0.8488947917881139
29,0.8425325751002385
33,0.8364073324781712
37,0.8296584156596073
41,0.8229048641045434
45,0.8182387125407313
49,0.8163178909219545
53,0.8169440380759259
57,0.8215649660451562
61,0.8329199348355003
65,0.8519767932054747
69,0.8792558163792514
73,0.9161788777167158
77,0.9642898021113501
81,1.022394374428454
85,1.0911289504215713
89,1.168876906846984
93,1.2547576658169823
97,1.3463094014509942
101,1.4405476680784564
105,1.5353194948872608
109,1.627559308434853
113,1.7136179273534906
117,1.791247809895378
121,1.857884248806581
125,1.9116891365344417
129,1.9515928005851035
133,1.9785497601627315
137,1.9939693962053955
141,1.9989614707519618
145,1.9955609895262107
149,1.985711091149964
153,1.9713016407552395
157,1.952736603476029
161,1.931008227308463
165,1.9052758780359467
169,1.875276320992954
173,1.840270228609668
177,1.8009064032785216
181,1.7564223880258536
185,1.7071611990182172
189,1.6549412113314752
193,1.6017654137717947
197,1.5483863843732144
201,1.4967546364159345
205,1.4493755372406374
209,1.4069965897164396
213,1.3712500310923514
217,1.3425580131490138
221,1.3214202268837916
225,1.3074461081457354
229,1.2990749020796402
233,1.2947930582498488
237,1.2933637247426821
241,1.2921776232104354
245,1.2907249779380747
249,1.2875203314445103
253,1.2814858646877623
257,1.2724634583764851
261,1.2603878631950576
265,1.2454445657020161
269,1.227958358304438
273,1.208465745772453
277,1.1870548717688403
281,1.1643695679087154
285,1.1409041946865106
289,1.1172676226182319
293,1.093649824796374
297,1.0711990095265878
301,1.050283538686035
305,1.0315751780143592
309,1.0153908737061426
313,1.0017783955223059
317,0.9907567459098715
321,0.9826832053574076
325,0.9764863500413744
329,0.9724133074691287
333,0.9694355927382029
337,0.9676778764830702
341,0.9649014632109105
345,0.9606037816805647
349,0.952633835230474
353,0.9383438109211416
357,0.9194503466014075
361,0.9033716266889669
365,0.8893515301336032
